Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-June-2025,3680.00,3716.95,3653.00,3668.55,3685.899668594450581584,46167,3991,170166930.00,13025,28.21,63.95,-11.45
27-June-2025,3660.65,3730.00,3660.65,3678.85,3701.411276781998478825,69683,5823,257925442.00,38155,54.76,69.35,18.20
26-June-2025,3639.65,3668.00,3621.60,3660.60,3647.549742836149889786,27220,2192,99286304.00,15423,56.66,46.40,20.95
25-June-2025,3636.05,3640.00,3609.60,3618.30,3621.428273587254169778,32136,1828,116378219.00,20720,64.48,30.40,-17.75
24-June-2025,3634.05,3683.40,3595.65,3604.40,3623.521966586140392015,550131,22171,1993411763.00,66001,12.00,87.75,-29.65
23-June-2025,3630.10,3660.00,3575.50,3583.30,3601.399205984644661723,30478,3077,109763445.00,13329,43.73,84.50,-46.80
20-June-2025,3600.05,3668.00,3600.00,3660.65,3653.655378543581845309,103885,8816,379559989.00,19939,19.19,68.00,60.60
19-June-2025,3600.00,3642.20,3591.05,3620.20,3621.372345618745423480,24582,4263,89020575.00,14492,58.95,51.15,20.20
18-June-2025,3605.20,3639.00,3587.35,3599.70,3604.327511384945084382,37330,3750,134549546.00,22634,60.63,51.65,-5.50
17-June-2025,3620.00,3626.95,3601.85,3622.95,3613.198614453155320965,51532,3619,186195351.00,35590,69.06,25.10,2.95
16-June-2025,3565.60,3652.90,3563.55,3629.50,3632.105922767445844155,215997,11322,784523983.00,74605,34.54,89.35,63.90
